sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
301-Navy-L,301,Navy,L,1,67,2017/01/01,2896
501-Black-S,501,Black,S,2,67,2017/01/01,3040
501-Natural-XS,501,Natural,XS,1,39,2017/01/01,3040
501-Navy-S,501,Navy,S,2,67,2017/01/01,3040
402-Black-S,402,Black,S,1,71,2012/01/01,1001
402-White-XS,402,White,XS,1,71,2012/01/01,1001
802-Black-M,802,Black,M,1,71,2013/01/01,1270
202-White-S,202,White,S,1,71,2013/01/01,1126
401-Black-S,401,Black,S,1,63.8,2013/01/01,1126
401-White-S,401,White,S,1,63.8,2013/01/01,1126
802-Ivory-S,802,Ivory,S,2,84,2019/01/01,3870
802-Bluestone-S,802,Bluestone,S,1,84,2019/01/01,3870
202-Natural-M,202,Natural,M,2,86.11,2018/01/01,3552
802-White-M,802,White,M,1,90.43,2018/01/01,3552
202-Natural-L,202,Natural,L,1,80,2018/01/01,3506
230-FuchsiaPurple-L,230,FuchsiaPurple,L,1,80,2018/01/01,3506
402-White-S,402,White,S,1,80,2018/01/01,3403
402-SlateGray-S,402,SlateGray,S,1,80,2018/01/01,3403
401-Ivory-S,401,Ivory,S,1,72,2018/01/01,3403
1001-White-S,1001,White,S,1,72,2018/01/01,3403
1050-White-S,1050,White,S,1,109,2018/01/01,3500
401-Natural-M,401,Natural,M,1,72,2018/01/01,3500
401-Natural-L,401,Natural,L,1,72,2018/01/01,3514
2000-Navy-L,2000,Navy,L,1,118,2018/01/01,3514
402-FuchsiaPurple-M,402,FuchsiaPurple,M,1,76,2020/01/01,4006
601-Black-M,601,Black,M,2,68,2020/01/01,4006
601-White-M,601,White,M,2,68,2020/01/01,4006
202-Natural-XS,202,Natural,XS,1,80,2018/01/01,3512
230-FuchsiaPurple-XS,230,FuchsiaPurple,XS,1,80,2018/01/01,3512
601-White-XS,601,White,XS,1,69.97,2020/01/01,4004
202-Natural-S,202,Natural,S,1,69,2017/01/01,3116
402-FuchsiaPurple-XS,402,FuchsiaPurple,XS,1,74,2017/01/01,3114
302-SlateGray-S,302,SlateGray,S,1,74,2017/01/01,3118
901-Navy-S,901,Navy,S,1,35,2018/01/01,3327
402-SlateGray-S,402,SlateGray,S,1,74,2018/01/01,3327
1001-White-S,1001,White,S,1,67,2018/01/01,3327
202-Natural-L,202,Natural,L,1,69,2018/01/01,3415
202-Natural-L,202,Natural,L,1,69,2018/01/01,3416
202-Natural-M,202,Natural,M,1,69,2018/01/01,3413
402-Black-M,402,Black,M,1,80,2018/01/01,3590
401-Natural-M,401,Natural,M,1,72,2018/01/01,3590
402-Ivory-M,402,Ivory,M,1,80,2018/01/01,3590
1001-White-S,1001,White,S,1,72,2018/01/01,3391
1001-Black-S,1001,Black,S,1,72,2018/01/01,3391
1001-White-XL,1001,White,XL,1,72,2018/01/01,3400
1001-White-L,1001,White,L,1,72,2018/01/01,3401
501-FuchsiaPurple-L,501,FuchsiaPurple,L,1,72,2018/01/01,3414
202-Natural-S,202,Natural,S,1,80,2018/01/01,3585
202-Natural-XS,202,Natural,XS,1,80,2018/01/01,3632
201-Black-S,201,Black,S,1,72,2018/01/01,3632
2000-White-L,2000,White,L,1,105,2017/01/01,3115
1050-Black-M,1050,Black,M,1,109,2018/01/01,3426
2001-Navy-M,2001,Navy,M,1,99,2018/01/01,3426
202-Natural-M,202,Natural,M,1,86.11,2018/01/01,3508
202-Natural-S,202,Natural,S,1,82.31,2018/01/01,3504
202-Natural-L,202,Natural,L,1,80,2018/01/01,3509
202-Natural-XS,202,Natural,XS,1,80,2018/01/01,3510
202-Natural-M,202,Natural,M,1,80,2018/01/01,3516
9001-White-M,9001,White,M,1,84,2018/01/01,3501
2001-Black-M,2001,Black,M,1,78,2020/01/01,4005
1001-Black-M,1001,Black,M,1,69,2020/01/01,4005
2000-ChiliPepperRed-L,2000,ChiliPepperRed,L,1,118,2018/01/01,3487
2000-FuchsiaPurple-XL,2000,FuchsiaPurple,XL,1,118,2019/01/01,3844
202-White-XL,202,White,XL,1,80,2019/01/01,3844
1001-White-S,1001,White,S,2,72,2018/01/01,3396
1001-White-L,1001,White,L,1,74.08,2018/01/01,3397
1001-White-M,1001,White,M,1,74.08,2018/01/01,3397
